state,abbr,latitude,longitude
Alabama,AL,32.601011199999995,-86.6807365
Alaska,AK,61.3025006,-158.7750198
Arizona,AZ,34.1682185,-111.930907
Arkansas,AR,34.7519275,-92.13137840000002
California,CA,37.2718745,-119.2704153
Colorado,CO,38.9979339,-105.55056699999999
Connecticut,CT,41.518783500000005,-72.75750699999999
Delaware,DE,39.145251,-75.41892059999999
District of Columbia,DC,38.899348700000004,-77.0145666
Florida,FL,27.9757279,-83.8330166
Georgia,GA,32.6781248,-83.22297569999999
Hawaii,HI,20.46,-157.505
Idaho,ID,45.4945756,-114.1424303
Illinois,IL,39.739318,-89.504139
Indiana,IN,39.7662195,-86.441277
Iowa,IA,41.9383166,-93.389798
Kansas,KS,38.4987789,-98.32007790000002
Kentucky,KY,37.8222935,-85.76823990000001
Louisiana,LA,30.9733766,-91.42990970000001
Maine,ME,45.2185133,-69.0148656
Maryland,MD,38.806352399999994,-77.2684162
Massachusetts,MA,42.062939799999995,-71.718067
Michigan,MI,44.9435598,-86.41580490000001
Minnesota,MN,46.4418595,-93.3655146
Mississippi,MS,32.5851062,-89.8772196
Missouri,MO,38.3046615,-92.437099
Montana,MT,46.6797995,-110.04478300000001
Nebraska,NE,41.5008195,-99.680902
Nevada,NV,38.502032,-117.0230604
New Hampshire,NH,44.00123060000001,-71.57992309999999
New Jersey,NJ,40.1430058,-74.7311156
New Mexico,NM,34.1662325,-106.02606850000001
New York,NY,40.7056258,-73.97968
North Carolina,NC,35.2145629,-79.8912675
North Dakota,ND,47.467881899999995,-100.3022655
Ohio,OH,40.1903624,-82.6692525
Oklahoma,OK,35.309765399999996,-98.71655849999999
Oregon,OR,44.1419049,-120.5380993
Pennsylvania,PA,40.99459279999999,-77.6046984
Rhode Island,RI,41.5827282,-71.5064508
South Carolina,SC,33.62505,-80.9470381
South Dakota,SD,44.2126995,-100.24716409999999
Tennessee,TN,35.830521000000005,-85.97859890000001
Texas,TX,31.1693363,-100.0768425
Utah,UT,39.4997605,-111.547028
Vermont,VT,43.8717545,-72.4477828
Virginia,VA,38.0033855,-79.4587861
Washington,WA,38.899348700000004,-77.0145665
West Virginia,WV,38.920170500000005,-80.1816905
Wisconsin,WI,44.7862968,-89.82670490000001
Wyoming,WY,43.000325,-107.5545669
