state,registration
Alabama,none
Alaska,none
Arizona,none
Arkansas,none
California,Election Day
Colorado,Election Day
Connecticut,Election Day
Delaware,none
District of Columbia,Election Day
Florida,none
Georgia,none
Hawaii,Election Day
Idaho,Election Day
Illinois,Election Day
Indiana,none
Iowa,Election Day
Kansas,none
Kentucky,none
Louisiana,none
Maine,Election Day
Maryland,Election Day
Massachusetts,none
Michigan,Election Day
Minnesota,Election Day
Mississippi,none
Missouri,none
Montana,Election Day
Nebraska,none
Nevada,Election Day
New Hampshire,Election Day
New Jersey,none
New Mexico,Early Voting
New York,none
North Carolina,Early Voting
North Dakota,none
Ohio,none
Oklahoma,none
Oregon,none
Pennsylvania,none
Rhode Island,none
South Carolina,none
South Dakota,none
Tennessee,none
Texas,none
Utah,Election Day
Vermont,Election Day
Virginia,none
Washington,Election Day
West Virginia,none
Wisconsin,Election Day
Wyoming,Election Day
